Membership No  Date Joined  Active  
    65682      2020-2-17    no    
    99619      2015-11-6    no    
    59806      2019-3-18    yes   
    39443      2020-6-25    no    
    69006      2015-7-25    no    
    88594      2020-8-10    no    
    26398      2020-5-4     no    
    86447      2020-8-22    no    
    11351      2020-4-23    yes   
    52984      2015-6-8     yes   
    20568      2019-5-25    yes   
    95985      2016-12-2    yes   
    68296      2017-2-17    no    
    61772      2016-12-20   no    
    56803      2017-12-25   no    
    53719      2017-7-2     yes   
    88490      2015-11-7    no    
    88341      2015-4-19    yes   
    56270      2016-7-12    no    
    14563      2015-2-8     no    
